1/1  初九	2/1  十一	3/1  初十	4/1  十一	5/1  十二	6/1  十四	7/1  十四	8/1  十五	9/1  十七	10/1  十七	11/1  十八		
1/2  初十	2/2  十二	3/2  十一	4/2  十二	5/2  十三	6/2  十五	7/2  十五	8/2  十六	9/2  十八	10/2  十八	11/2  十九		
1/3  十一	2/3  十三	3/3  十二	4/3  十三	5/3  十四	6/3  十六	7/3  十六	8/3  十七	9/3  十九	10/3  十九	11/3  二十		
1/4  十二	2/4  立春	3/4  十三	4/4  十四	5/4  十五	6/4  十七	7/4  十七	8/4  十八	9/4  二十	10/4  二十	11/4  廿一		
1/5  小寒	2/5  十五	3/5  十四	4/5  清明	5/5  十六	6/5  十八	7/5  十八	8/5  十九	9/5  廿一	10/5  廿一	11/5  廿二		
1/6  十四	2/6  十六	3/6  惊蛰	4/6  十六	5/6  立夏	6/6  芒种	7/6  十九	8/6  二十	9/6  廿二	10/6  廿二	11/6  廿三		
1/7  十五	2/7  十七	3/7  十六	4/7  十七	5/7  十八	6/7  二十	7/7  小暑	8/7  廿一	9/7  廿三	10/7  廿三	11/7  廿四		
1/8  十六	2/8  十八	3/8  十七	4/8  十八	5/8  十九	6/8  廿一	7/8  廿一	8/8  立秋	9/8  白露	10/8  寒露	11/8  立冬		
1/9  十七	2/9  十九	3/9  十八	4/9  十九	5/9  二十	6/9  廿二	7/9  廿二	8/9  廿三	9/9  廿五	10/9  廿五	11/9  廿六		
1/10  十八	2/10  二十	3/10  十九	4/10  二十	5/10  廿一	6/10  廿三	7/10  廿三	8/10  廿四	9/10  廿六	10/10  廿六	11/10  廿七		
1/11  十九	2/11  廿一	3/11  二十	4/11  廿一	5/11  廿二	6/11  廿四	7/11  廿四	8/11  廿五	9/11  廿七	10/11  廿七	11/11  廿八		
1/12  二十	2/12  廿二	3/12  廿一	4/12  廿二	5/12  廿三	6/12  廿五	7/12  廿五	8/12  廿六	9/12  廿八	10/12  廿八	11/12  廿九		
1/13  廿一	2/13  廿三	3/13  廿二	4/13  廿三	5/13  廿四	6/13  廿六	7/13  廿六	8/13  廿七	9/13  廿九	10/13  廿九	11/13  十月		
1/14  廿二	2/14  廿四	3/14  廿三	4/14  廿四	5/14  廿五	6/14  廿七	7/14  廿七	8/14  廿八	9/14  三十	10/14  三十	11/14  初二		
1/15  廿三	2/15  廿五	3/15  廿四	4/15  廿五	5/15  廿六	6/15  廿八	7/15  廿八	8/15  廿九	9/15  八月	10/15  九月	11/15  初三		
1/16  廿四	2/16  廿六	3/16  廿五	4/16  廿六	5/16  廿七	6/16  廿九	7/16  廿九	8/16  七月	9/16  初二	10/16  初二	11/16  初四		
1/17  廿五	2/17  廿七	3/17  廿六	4/17  廿七	5/17  廿八	6/17  三十	7/17  三十	8/17  初二	9/17  初三	10/17  初三	11/17  初五		
1/18  廿六	2/18  廿八	3/18  廿七	4/18  廿八	5/18  廿九	6/18  五月	7/18  六月	8/18  初三	9/18  初四	10/18  初四	11/18  初六		
1/19  廿七	2/19  雨水	3/19  廿八	4/19  廿九	5/19  四月	6/19  初二	7/19  初二	8/19  初四	9/19  初五	10/19  初五	11/19  初七		
1/20  大寒	2/20  二月	3/20  廿九	4/20  谷雨	5/20  初二	6/20  初三	7/20  初三	8/20  初五	9/20  初六	10/20  初六	11/20  初八		
1/21  廿九	2/21  初二	3/21  春分	4/21  初二	5/21  小满	6/21  夏至	7/21  初四	8/21  初六	9/21  初七	10/21  初七	11/21  初九		
1/22  正月	2/22  初三	3/22  闰二月	4/22  初三	5/22  初四	6/22  初五	7/22  初五	8/22  初七	9/22  初八	10/22  初八	11/22  小雪		
1/23  初二	2/23  初四	3/23  初二	4/23  初四	5/23  初五	6/23  初六	7/23  大暑	8/23  处暑	9/23  秋分	10/23  霜降	11/23  十一		
1/24  初三	2/24  初五	3/24  初三	4/24  初五	5/24  初六	6/24  初七	7/24  初七	8/24  初九	9/24  初十	10/24  初十	11/24  十二		
1/25  初四	2/25  初六	3/25  初四	4/25  初六	5/25  初七	6/25  初八	7/25  初八	8/25  初十	9/25  十一	10/25  十一	11/25  十三		
1/26  初五	2/26  初七	3/26  初五	4/26  初七	5/26  初八	6/26  初九	7/26  初九	8/26  十一	9/26  十二	10/26  十二	11/26  十四		
1/27  初六	2/27  初八	3/27  初六	4/27  初八	5/27  初九	6/27  初十	7/27  初十	8/27  十二	9/27  十三	10/27  十三	11/27  十五		
1/28  初七	2/28  初九	3/28  初七	4/28  初九	5/28  初十	6/28  十一	7/28  十一	8/28  十三	9/28  十四	10/28  十四	11/28  十六		
1/29  初八		3/29  初八	4/29  初十	5/29  十一	6/29  十二	7/29  十二	8/29  十四	9/29  十五	10/29  十五	11/29  十七		
1/30  初九		3/30  初九	4/30  十一	5/30  十二	6/30  十三	7/30  十三	8/30  十五	9/30  十六	10/30  十六	11/30  十八		
1/31  初十		3/31  初十		5/31  十三		7/31  十四	8/31  十六		10/31  十七			
